,Addres,Baths,Beds,Half Baths,Locality,Lot Size,Price
0,32575 S Shadow Mountain Road,2,3,,"Black Canyon City, AZ 85324",,"$299,900"
1,32750 S Shangrila Drive,2,3,,"Black Canyon City, AZ 85324",,"$167,500"
